Unnamed: 0,admin_name,Date,fews_ipc,country,timestamp
220,Ikotos,04/1/2019,4,South Sudan,1554076800
221,Ikotos,05/1/2019,4,South Sudan,1556668800
222,Ikotos,06/1/2019,2,South Sudan,1559347200
223,Ikotos,07/1/2019,4,South Sudan,1561939200
224,Ikotos,08/1/2019,3,South Sudan,1564617600
225,Ikotos,09/1/2019,3,South Sudan,1567296000
226,Ikotos,10/1/2019,4,South Sudan,1569888000
227,Ikotos,11/1/2019,3,South Sudan,1572566400
228,Ikotos,12/1/2019,4,South Sudan,1575158400
229,Ikotos,01/1/2020,3,South Sudan,1577836800
230,Ikotos,02/1/2020,3,South Sudan,1580515200
231,Yei,06/1/2017,4,South Sudan,1496275200
232,Yei,07/1/2017,4,South Sudan,1498867200
233,Yei,08/1/2017,2,South Sudan,1501545600
234,Yei,09/1/2017,3,South Sudan,1504224000
235,Yei,10/1/2017,3,South Sudan,1506816000
236,Yei,11/1/2017,2,South Sudan,1509494400
237,Yei,12/1/2017,3,South Sudan,1512086400
238,Yei,01/1/2018,3,South Sudan,1514764800
239,Yei,02/1/2018,3,South Sudan,1517443200
240,Yei,03/1/2018,2,South Sudan,1519862400
241,Yei,04/1/2018,3,South Sudan,1522540800
242,Yei,05/1/2018,3,South Sudan,1525132800
243,Yei,06/1/2018,3,South Sudan,1527811200
244,Yei,07/1/2018,4,South Sudan,1530403200
245,Yei,08/1/2018,4,South Sudan,1533081600
246,Yei,09/1/2018,3,South Sudan,1535760000
247,Yei,10/1/2018,2,South Sudan,1538352000
248,Yei,11/1/2018,4,South Sudan,1541030400
249,Yei,12/1/2018,2,South Sudan,1543622400
250,Yei,01/1/2019,3,South Sudan,1546300800
251,Yei,02/1/2019,2,South Sudan,1548979200
252,Yei,03/1/2019,3,South Sudan,1551398400
253,Yei,04/1/2019,3,South Sudan,1554076800
254,Yei,05/1/2019,3,South Sudan,1556668800
255,Yei,06/1/2019,4,South Sudan,1559347200
256,Yei,07/1/2019,2,South Sudan,1561939200
257,Yei,08/1/2019,4,South Sudan,1564617600
258,Yei,09/1/2019,4,South Sudan,1567296000
259,Yei,10/1/2019,3,South Sudan,1569888000
260,Yei,11/1/2019,2,South Sudan,1572566400
261,Yei,12/1/2019,4,South Sudan,1575158400
262,Yei,01/1/2020,3,South Sudan,1577836800
263,Yei,02/1/2020,2,South Sudan,1580515200
264,Yambio,06/1/2017,3,South Sudan,1496275200
265,Yambio,07/1/2017,3,South Sudan,1498867200
266,Yambio,08/1/2017,4,South Sudan,1501545600
267,Yambio,09/1/2017,3,South Sudan,1504224000
268,Yambio,10/1/2017,3,South Sudan,1506816000
269,Yambio,11/1/2017,4,South Sudan,1509494400
270,Yambio,12/1/2017,3,South Sudan,1512086400
271,Yambio,01/1/2018,4,South Sudan,1514764800
272,Yambio,02/1/2018,4,South Sudan,1517443200
273,Yambio,03/1/2018,2,South Sudan,1519862400
274,Yambio,04/1/2018,3,South Sudan,1522540800
275,Yambio,05/1/2018,2,South Sudan,1525132800
276,Yambio,06/1/2018,3,South Sudan,1527811200
277,Yambio,07/1/2018,3,South Sudan,1530403200
278,Yambio,08/1/2018,4,South Sudan,1533081600
279,Yambio,09/1/2018,3,South Sudan,1535760000
280,Yambio,10/1/2018,3,South Sudan,1538352000
281,Yambio,11/1/2018,3,South Sudan,1541030400
282,Yambio,12/1/2018,4,South Sudan,1543622400
283,Yambio,01/1/2019,3,South Sudan,1546300800
284,Yambio,02/1/2019,3,South Sudan,1548979200
285,Yambio,03/1/2019,3,South Sudan,1551398400
286,Yambio,04/1/2019,2,South Sudan,1554076800
287,Yambio,05/1/2019,2,South Sudan,1556668800
288,Yambio,06/1/2019,3,South Sudan,1559347200
289,Yambio,07/1/2019,3,South Sudan,1561939200
290,Yambio,08/1/2019,4,South Sudan,1564617600
291,Yambio,09/1/2019,3,South Sudan,1567296000
292,Yambio,10/1/2019,2,South Sudan,1569888000
293,Yambio,11/1/2019,2,South Sudan,1572566400
294,Yambio,12/1/2019,3,South Sudan,1575158400
295,Yambio,01/1/2020,3,South Sudan,1577836800
296,Yambio,02/1/2020,3,South Sudan,1580515200
297,Ibba,06/1/2017,4,South Sudan,1496275200
298,Ibba,07/1/2017,3,South Sudan,1498867200
299,Ibba,08/1/2017,3,South Sudan,1501545600
300,Ibba,09/1/2017,3,South Sudan,1504224000
301,Ibba,10/1/2017,3,South Sudan,1506816000
302,Ibba,11/1/2017,3,South Sudan,1509494400
303,Ibba,12/1/2017,4,South Sudan,1512086400
304,Ibba,01/1/2018,3,South Sudan,1514764800
305,Ibba,02/1/2018,3,South Sudan,1517443200
306,Ibba,03/1/2018,2,South Sudan,1519862400
307,Ibba,04/1/2018,4,South Sudan,1522540800
308,Ibba,05/1/2018,3,South Sudan,1525132800
309,Ibba,06/1/2018,2,South Sudan,1527811200
310,Ibba,07/1/2018,3,South Sudan,1530403200
311,Ibba,08/1/2018,2,South Sudan,1533081600
312,Ibba,09/1/2018,4,South Sudan,1535760000
313,Ibba,10/1/2018,2,South Sudan,1538352000
314,Ibba,11/1/2018,4,South Sudan,1541030400
315,Ibba,12/1/2018,2,South Sudan,1543622400
316,Ibba,01/1/2019,3,South Sudan,1546300800
317,Ibba,02/1/2019,3,South Sudan,1548979200
318,Ibba,03/1/2019,2,South Sudan,1551398400
319,Ibba,04/1/2019,3,South Sudan,1554076800
320,Ibba,05/1/2019,3,South Sudan,1556668800
321,Ibba,06/1/2019,3,South Sudan,1559347200
322,Ibba,07/1/2019,3,South Sudan,1561939200
323,Ibba,08/1/2019,2,South Sudan,1564617600
324,Ibba,09/1/2019,3,South Sudan,1567296000
325,Ibba,10/1/2019,2,South Sudan,1569888000
326,Ibba,11/1/2019,4,South Sudan,1572566400
327,Ibba,12/1/2019,2,South Sudan,1575158400
328,Ibba,01/1/2020,2,South Sudan,1577836800
329,Ibba,02/1/2020,3,South Sudan,1580515200
330,Lainya,06/1/2017,3,South Sudan,1496275200
331,Lainya,07/1/2017,4,South Sudan,1498867200
332,Lainya,08/1/2017,2,South Sudan,1501545600
333,Lainya,09/1/2017,2,South Sudan,1504224000
334,Lainya,10/1/2017,4,South Sudan,1506816000
335,Lainya,11/1/2017,3,South Sudan,1509494400
336,Lainya,12/1/2017,2,South Sudan,1512086400
337,Lainya,01/1/2018,3,South Sudan,1514764800
338,Lainya,02/1/2018,3,South Sudan,1517443200
339,Lainya,03/1/2018,3,South Sudan,1519862400
340,Lainya,04/1/2018,2,South Sudan,1522540800
341,Lainya,05/1/2018,2,South Sudan,1525132800
342,Lainya,06/1/2018,3,South Sudan,1527811200
343,Lainya,07/1/2018,3,South Sudan,1530403200
344,Lainya,08/1/2018,2,South Sudan,1533081600
345,Lainya,09/1/2018,3,South Sudan,1535760000
346,Lainya,10/1/2018,3,South Sudan,1538352000
347,Lainya,11/1/2018,4,South Sudan,1541030400
348,Lainya,12/1/2018,3,South Sudan,1543622400
349,Lainya,01/1/2019,3,South Sudan,1546300800
350,Lainya,02/1/2019,2,South Sudan,1548979200
351,Lainya,03/1/2019,4,South Sudan,1551398400
352,Lainya,04/1/2019,3,South Sudan,1554076800
353,Lainya,05/1/2019,3,South Sudan,1556668800
354,Lainya,06/1/2019,2,South Sudan,1559347200
355,Lainya,07/1/2019,3,South Sudan,1561939200
356,Lainya,08/1/2019,3,South Sudan,1564617600
